"ID","Description","Rationale","Source","Type","Parent","Owner_agent","Priority","VV_Method","VV_Status","Phase","Trade_Study","Risk","Confidence","Falsifying_Observation"
"SyR-Cost-003","[6A] Revenue Y1 ≥€200k da contratti pluriennali PA + cooperative","Sostenibilità MVP + StNeed-016","StNeed-016","SyR","StNeed-016","financial-cfo-analyst","H","D","Open","Phase A","-","RSK-FIN-003","medium","Revenue Y1 <€100k → revisione drastica MVP scope"
"SyR-Cost-004","Modello servizio ricorrente (DaaS/IaaS/canone) — no vendita asset","StNeed-015 + boundary B1","StNeed-015 + B1","SyR","StNeed-015","business-model-strategist","H","I","Open","Pre-A","-","-","boundary","Firma contratto vendita asset → violazione B1 + NegR-B-001"
"SyR-Cost-005","Funding mix Y1: ≥60% commitment formale entro G3 (M+10)","Sostenibilità funding plan","Cap.8 + Bando Cooding","SyR","Cap.8","financial-cfo-analyst","H","I","Open","Pre-A","-","RSK-FIN-005","medium","Funding <40% commitment al G3 → verdetto Hold con re-planning"
"SyR-Cost-006","Revenue Y2-Y3: customer concentration ≤40% da singolo cliente","StNeed-025 + diversification","StNeed-025","SyR","StNeed-025","business-model-strategist","M","A","Open","Phase A","-","RSK-FIN-004","medium","Y2 revenue >60% da Regione → vulnerabilità anchor + riduzione score"
"SyR-Cost-007","Pricing model validato con ≥1 cliente PA (LoI + soglia pricing realistica)","Cap.7.4.4.1 + falsifying observation pricing","Cap.7 + StNeed-016","SyR","Cap.7","business-model-strategist","H","D","Open","Phase A","-","RSK-MKT-001","medium","Cluster D opera servizi EO regionali a €30-60k/anno → pricing baseline €150k non raggiungibile"
"SyR-Cost-008","Break-even point Y3-Y4 con NPV>0 @ WACC 12% scenario base","Sostenibilità finanziaria multi-anno","Cap.8","SyR","Cap.8","financial-cfo-analyst","H","A","Open","Phase A","-","-","medium","Sensitivity worst-case NPV<0 → revisione business model"
"SyR-Cost-009","Insurance OpEx Y1 ≤€50k/anno (BVLOS RC+casco baseline)","Sostenibilità OpEx Cap.5.16.11","Cap.5.16.11","SyR","Cap.5.16.11","financial-cfo-analyst","M","A","Open","Phase A","-","RSK-REG-026","low","Premio reale >€100k → modello non sostenibile + revisione SAIL"
"SyR-Cost-010","[6B] R&D budget Y3-Y5 €5.5-13.5M con multi-source funding (EDF+Horizon+PNRR+equity)","Sostenibilità Phase B 6B","StNeed-017,StNeed-023 + Cap.8","SyR","StNeed-017,StNeed-023","financial-cfo-analyst","H","A","Open","Phase B","-","RSK-FIN-006","low","Funding commitment <50% al G5 → Phase B deferred"
"SsR-AERO-001","[6B] Wing aspect ratio (AR) ≥25 per minimizzare resistenza indotta","L/D target SyR-P-004","SyR-P-004","SsR","SyR-P-004","aero-structures-engineer","H","A","Open","Phase B","TS-MATERIAL","RSK-TEC-002","high","Wind tunnel AR=25 mostra flutter critico → re-design AR=20"
"SsR-AERO-002","[6B] Layup composito longherone alare: CFRP standard cap moduli alti (HM); lino solo strutture secondarie","Trade study TS-MATERIAL + safety strutturale","SyR-E-003 + SyR-P-004","SsR","SyR-E-003,SyR-P-004","aero-structures-engineer","H","I+T","Open","Phase B","TS-MATERIAL","-","high","Uso lino in longherone primario richiederebbe qualification path 5-10 anni → fuori scope"
"SsR-AERO-003","[6B] Wing span 25-30m con dihedral 3-5° per stabilità laterale stratosferica","Sizing 6B + stabilità","SyR-P-004,SyR-P-012","SsR","SyR-P-004,SyR-P-012","aero-structures-engineer","H","A","Open","Phase B","-","RSK-TEC-002","medium","CFD mostra instabilità laterale stratosferica → re-design dihedral"
"SsR-AERO-004","[6B] Cl_max ≥1.4 alare per low-speed cruise stratosferico","Energy balance + cruise stability","SyR-P-004","SsR","SyR-P-004","aero-structures-engineer","H","A+T","Open","Phase B","-","-","medium","Cl_max misurato <1.2 → re-spec profilo alare"
"SsR-AERO-005","[6B] Margine flutter ≥30% velocità di crociera in tutto envelope quota","Aeroelasticità + RSK-TEC-002","SyR-P-004 + AC 25.629","SsR","SyR-P-004","aero-structures-engineer","H","A+T","Open","Phase B","TS-MATERIAL","RSK-TEC-002","low","Aeroelastic analysis mostra flutter <20% margin → re-design layup/AR"
"SsR-AERO-006","[6A] Configurazione VTOL ibrido fixed-wing, transizione hover-cruise <30s","ConOps 6A + JOUAV CW-30E baseline","SyR-F-001,SyR-P-001","SsR","SyR-F-001","vtol-uas-specialist","H","I+T","Open","Phase A","TS-PLATFORM-6A","-","high","Transizione reale >60s → revisione missione operativa"
"SsR-AERO-007","[6A] MTOW 38 kg + payload max 8 kg conforme vendor JOUAV CW-30E datasheet","TS-PLATFORM-6A baseline","SyR-P-003,SyR-P-011","SsR","SyR-P-003,SyR-P-011","vtol-uas-specialist","H","I","Open","Phase A","TS-PLATFORM-6A","-","high","Vendor datasheet revised o MTOW reale >50 kg → re-selection"
"SsR-AERO-008","[6A] Resistenza vento di traverso ≥8 m/s in landing/takeoff","Operatività Pentema condizioni meteo","SyR-O-003","SsR","SyR-O-003","vtol-uas-specialist","H","T","Open","Phase A","-","-","medium","Test mostra crosswind capability <5 m/s → revisione finestre operative"
"SsR-AERO-009","[6B] Materiale skin solar panel-friendly (flessibilità + integrazione pannelli flessibili)","Integrazione solare 6B","SsR-PROP-002","SsR","SsR-PROP-002","aero-structures-engineer","M","A+T","Open","Phase B","TS-MATERIAL","-","medium","Pannelli rigidi non integrabili in skin curvo → re-design wing surface"
"SsR-AERO-010","[6B] Coda T-tail con stabilizzatore orizzontale altezza ≥1.5m da fusoliera","Aerodinamica + concept Firmamento HALE","Concept HALE Firmamento","SsR","SyR-F-005","aero-structures-engineer","M","A","Open","Phase B","-","-","medium","CFD mostra interferenza wake → re-design tail"
"SsR-AERO-011","[6B] Carrello atterraggio retraibile o fixed lightweight con energy absorption","Atterraggio sicuro + mass budget","SyR-P-012 + ground ops","SsR","SyR-P-012","aero-structures-engineer","M","A+T","Open","Phase B","-","-","medium","Mass carrello >5% MTOW → re-design"
"SsR-AERO-012","[6A] Materiali compositi CFRP standard + 20% bio-composito secondario (lino in non-primary)","TS-MATERIAL + SyR-E-003","SyR-E-003","SsR","SyR-E-003","aero-structures-engineer","M","I","Open","Phase B","TS-MATERIAL","-","medium","BoM analysis mostra <10% bio-composito → revisione spec"
"SsR-AERO-013","[6B] Test in galleria del vento subscale (1:5 o 1:10) entro M+30 per validazione aeroelastica","Validation RSK-TEC-002 + readiness gate G6","SsR-AERO-005 + RSK-TEC-002","SsR","SsR-AERO-005","aero-structures-engineer","H","T","Open","Phase B","-","RSK-TEC-002","low","Wind tunnel slot non disponibile entro M+30 → schedule slip G6"
"SsR-AERO-014","[6A] Vita strutturale ≥1000 ore di volo + 500 cicli VTOL transizione","Durability + OpEx maintenance","SyR-O-008 + best practice UAS","SsR","SyR-O-008","aero-structures-engineer","M","A+T","Open","Phase A","-","-","medium","Fatigue test mostra fatigue life <500h → revisione spec materiale"
"SsR-AERO-015","[6B] Margine carico statico (limit load × 1.5) verificato per envelope completo","Strutturale + AC 23.337","SsR-AERO-005","SsR","SsR-AERO-005","aero-structures-engineer","H","A+T","Open","Phase B","-","-","medium","Static load test mostra margine <1.3 → re-design"
"SsR-AERO-016","[6A+6B] Tolleranza danno (damage tolerance) per impact bird-strike + grandinata","Sicurezza + AC 25.571","Best practice aviation","SsR","SyR-S-001","aero-structures-engineer","M","A+T","Open","Phase B","-","-","low","Impact test mostra penetrazione bird-strike → re-design leading edge"
"SsR-PROP-001","[6A] Powertrain ibrido VTOL+cruise commerciale TRL ≥8 (vendor: JOUAV/Quantum/FlyingBasket)","Sourcing commerciale + TS-PLATFORM-6A","SyR-F-001","SsR","SyR-F-001","propulsion-energy-engineer","H","I","Open","Phase A","TS-PLATFORM-6A","-","medium","Vendor non garantisce TRL 8 standardized → re-spec"
"SsR-PROP-002","[6B] Pannelli solari multi-junction GaAs efficienza η ≥30% (worst case after 1y stratospheric degradation)","Energy balance + SyR-P-005/006","SyR-P-005,SyR-P-006","SsR","SyR-P-005,SyR-P-006","propulsion-energy-engineer","H","A+T","Open","Phase B","TS-PROP-6B","RSK-TEC-001","medium","Degradation reale >5%/anno → re-sizing solar area"
"SsR-PROP-003","[6B] Batterie Li-S o Solid-State Li, densità energetica pack ≥350 Wh/kg (TRL ≥5 nel 2027-28 target)","Energy balance worst case + RSK-TEC-001","SyR-P-006","SsR","SyR-P-006","propulsion-energy-engineer","H","I+T","Open","Phase B","TS-PROP-6B","RSK-TEC-001","low","Mercato 2027 non offre batterie >300 Wh/kg pack → seasonal-only mandatory"
"SsR-PROP-004","[6A] Batterie LiPo/Li-ion commerciali ≥250 Wh/kg pack, certificate UN38.3 + airworthiness","Autonomia 6A SyR-P-001","SyR-P-001","SsR","SyR-P-001","propulsion-energy-engineer","H","I+T","Open","Phase A","-","-","high","Cell vendor cambia chimica con effect su autonomia → re-baseline"
"SsR-PROP-005","[6B] Solar area effettiva ≥45 m² (su wing area ~50 m²)","Energy collection budget","SyR-P-005 + SsR-PROP-002","SsR","SyR-P-005","propulsion-energy-engineer","H","A","Open","Phase B","TS-PROP-6B","-","medium","Wing surface curvature riduce solar area effective <40 m² → re-sizing"
"SsR-PROP-006","[6A] Carica batterie ground: charger ≥3 kW + tempo carica ≤90 min per 50→100%","Turnaround SyR-O-004","SyR-O-004","SsR","SyR-O-004","propulsion-energy-engineer","M","I+T","Open","Phase A","-","-","high","Charger reale 1.5 kW → tempo carica >180 min → revisione spare batt"
"SsR-PROP-007","[6B] Motori brushless DC efficienza η ≥92% in cruise stratosferico","Power budget HALE","SyR-P-005,SyR-P-006","SsR","Multiple SyR-P","propulsion-energy-engineer","H","A+T","Open","Phase B","TS-PROP-6B","-","medium","Motor efficiency <88% in test → re-spec motor"
"SsR-PROP-008","[6B] BMS (Battery Management System) con balancing + thermal control + cycle-life monitoring","Sicurezza batterie + cycle life","SsR-PROP-003 + ATEX","SsR","SsR-PROP-003","propulsion-energy-engineer","H","I+T","Open","Phase B","-","RSK-REG-022","medium","BMS non rileva thermal runaway iniziale → incidente hangar"
"SsR-PROP-009","[6A] Sistema propulsione modulare swap-able motors per maintenance/turnaround","OpEx maintenance + turnaround","SyR-O-004,SyR-O-008","SsR","SyR-O-008","propulsion-energy-engineer","M","I","Open","Phase A","-","-","medium","Motor swap non possibile field → revisione MRO process"
"SsR-PROP-010","[6B] Power management distribution con voltage bus 270 VDC + secondary 28 VDC per avionica","Architettura elettrica HALE","SsR-PROP-003 + SsR-AVI-001","SsR","SsR-PROP-003","propulsion-energy-engineer","M","I+A","Open","Phase B","-","-","medium","Voltage bus conflitto con commercial COTS avionica → re-design"
"SsR-PROP-011","[6A] Backup battery emergency ≥10 min autonomia per RTL/safe landing in caso loss main power","Sicurezza SyR-S-001/002","SyR-S-001,SyR-S-002","SsR","SyR-S-001,SyR-S-002","propulsion-energy-engineer","H","I+T","Open","Phase A","-","-","high","Backup batt non garantisce 10 min → re-sizing"
"SsR-PROP-012","[6B] Test cella batterie LiS in camera climatica stratosferica entro M+30 (TRL 5)","Validation RSK-TEC-001 + gate G6","SsR-PROP-003 + RSK-TEC-001","SsR","SsR-PROP-003","propulsion-energy-engineer","H","T","Open","Phase B","-","RSK-TEC-001","low","Test camera climatica non disponibile → schedule slip TRL maturation"
"SsR-PROP-013","[6A] Hybrid fuel option (kerosene) escluso per compliance StNeed-009 + boundary ESG","SyR-E-001 100% elettrica","SyR-E-001","SsR","SyR-E-001","propulsion-energy-engineer","H","I","Verified","Pre-A","-","-","boundary","Vendor offre solo hybrid kerosene → vendor re-selection (no fuel option ammessa)"
"SsR-AVI-001","[6A] Autopilota TRL ≥8 con DAL-C minimo per FCS (MicroPilot/UAVOS/Pixhawk Cube modificato)","SAIL III + Reg.ENAC art.26","SyR-F-002 + Reg.ENAC art.26","SsR","SyR-F-002","avionics-gnc-engineer","H","I","Open","Phase A","TS-AVI-6A","-","medium","Vendor non garantisce DAL-C certification → re-spec autopilot custom"
"SsR-AVI-002","[6A] C2 link primary RF 2.4/5.8 GHz + secondary SATCOM Iridium Certus per shadow zones Pentema","SyR-S-001 Lost-Link + SyR-P-009","SyR-S-001,SyR-P-009","SsR","SyR-S-001,SyR-P-009","avionics-gnc-engineer","H","T","Open","Phase A","TS-COMMS","-","medium","RF range Pentema <15 km terreno appenninico → SATCOM primary fallback"
"SsR-AVI-003","[6A+6B] GNSS dual-frequency multi-constellation (GPS L1/L5+Galileo E1/E5a+GLONASS) con anti-spoofing software","SyR-S-003 sensor redundancy + StNeed-013","SyR-S-003","SsR","SyR-S-003","avionics-gnc-engineer","H","I","Open","Phase A","-","-","high","GNSS spoofing attack non rilevato → re-design anti-spoofing crypto-based"
"SsR-AVI-004","[6B HALE] FCS DAL-C completo + ridondanza triple-channel su axe critici","SyR-S-005 + Type Certification Phase B","SyR-S-005,SyR-F-005","SsR","SyR-S-005","avionics-gnc-engineer","H","I+T","Open","Phase B","-","RSK-TEC-003","low","FCS DAL-C certification path >3 anni → revisione timeline Phase B"
"SsR-AVI-005","[6A] IMU primary Tactical-Grade (gyro bias stability <1°/h) + IMU secondary commercial","SyR-S-003 ridondanza","SyR-S-003","SsR","SyR-S-003","avionics-gnc-engineer","H","I+T","Open","Phase A","-","-","high","Tactical IMU >€20k unit → re-spec MEMS high-end con calibration"
"SsR-AVI-006","[6A] Airdata sensor (pitot+altimeter) ridondato N+1 con cross-check","Safety + envelope protection","SyR-S-003,SyR-O-003","SsR","SyR-S-003","avionics-gnc-engineer","H","I+T","Open","Phase A","-","-","high","Pitot icing in test invernale → re-design heating"
"SsR-AVI-007","[6A] Flight Termination System (FTS) attivabile da GS + autonomous trigger su geofence breach","Safety SyR-S-007","SyR-S-007 + SORA M2","SsR","SyR-S-007","avionics-gnc-engineer","H","T","Open","Phase A","-","-","high","FTS test non termina volo entro 5s → re-design"
"SsR-AVI-008","[6A] Lost-Link Profile programmato: 60s RTL → 5min loiter → 10min auto-land","SyR-S-001 + OSO #9","SyR-S-001","SsR","SyR-S-001","avionics-gnc-engineer","H","D+T","Open","Phase A","-","RSK-TEC-007","high","Lost-link demo non rispetta profile temporale → revisione FCS logic"
"SsR-AVI-009","[6B] DAA ADS-B IN + traffic display + alert pilot remoto","SyR-S-004 + StNeed-024","SyR-S-004","SsR","SyR-S-004","avionics-gnc-engineer","H","I+D","Open","Phase B","-","RSK-REG-030","medium","ENAV richiede DAA non-cooperativo (radar) → re-spec sensors"
"SsR-AVI-010","[6A] Encrypted C2 link AES-256 + frequency hopping + crypto authentication","SyR-S-006 cybersecurity","SyR-S-006","SsR","SyR-S-006","avionics-gnc-engineer","H","I+T","Open","Phase A","-","RSK-TEC-005","medium","Penetration test SaaS C2 mostra crypto debole → re-spec"
"SsR-AVI-011","[6A] OBC (On-Board Computer) per payload management + edge processing IR/RGB","Edge processing + alert payload","SyR-F-003 + SsR-PAY-002","SsR","SyR-F-003","avionics-gnc-engineer","M","I+T","Open","Phase A","-","-","medium","OBC compute insufficiente → cloud offload (impatta latency)"
"SsR-AVI-012","[6A] Mission planner software (open-source MAVProxy/QGC fork o custom)","Operatività + StNeed-005/006 mission tasking","Multiple StNeeds operativi","SsR","SyR-O-001","avionics-gnc-engineer","M","I+D","Open","Phase A","-","-","high","Mission planner UI non usabile da PA operator → re-design UX"
"SsR-AVI-013","[6A+6B] Logging & Black Box: registratore dati volo 100% sortita + 30 giorni storage","Safety + post-incident analysis + ENAC compliance","SyR-S-001 + Reg.ENAC","SsR","SyR-S-001","avionics-gnc-engineer","H","I","Open","Phase A","-","-","high","Black Box capacity <30 days → revisione storage"
"SsR-AVI-014","[6B] Software flight control firmware compliant DO-178C DAL-C + verification path","Phase B + RSK-TEC-003","SsR-AVI-004 + DO-178C","SsR","SsR-AVI-004","avionics-gnc-engineer","H","I+A","Open","Phase B","-","RSK-TEC-003","low","DO-178C DAL-C verification effort >18 mesi/3 FTE → schedule slip"
"SsR-AVI-015","[6A] Health monitoring (HUMS) onboard + GS dashboard real-time anomaly","Maintenance predittiva + safety","SyR-O-008 + SyR-S-001","SsR","SyR-O-008","avionics-gnc-engineer","M","D","Open","Phase A","-","-","medium","HUMS non rileva anomalie note → revisione thresholds"
"SsR-AVI-016","[6A] Avionica No-DJI / No-CN per applicazioni PA (compliance NIS2 + Golden Power)","NegR-Tech-002 + StNeed-020","NegR-Tech-002,StNeed-020","SsR","StNeed-020","avionics-gnc-engineer","H","I","Open","Pre-A","-","RSK-SUP-001","medium","Vendor JOUAV bannato EU → vendor switch EU obbligatorio"
"SsR-AVI-017","[6B] Software updateable in-flight (OTA) con secure boot + signed firmware","Cybersecurity + maintenance Phase B","SyR-C-004 + SyR-S-006","SsR","SyR-S-006","avionics-gnc-engineer","M","I+T","Open","Phase B","-","-","low","OTA test mostra vulnerability → re-design crypto chain"
"SsR-PAY-001","[6A] Sensore RGB high-res Phase One iXM 100 o equivalente, GSD ≤8cm @ 500m AGL","SyR-F-001 + SyR-P-007","SyR-F-001,SyR-P-007","SsR","SyR-F-001,SyR-P-007","earth-observation-expert","H","I+T","Open","Phase A","TS-PAYLOAD-EO","-","medium","GSD reale >15cm in test fly-and-measure → re-spec sensor"
"SsR-PAY-002","[6A] Sensore IR LWIR (8-14 µm) NEdT ≤50 mK, GSD termico ≤5m @ 500m AGL","SyR-F-003 antincendio + SyR-P-008","SyR-F-003,SyR-P-008","SsR","SyR-F-003,SyR-P-008","earth-observation-expert","H","I+T","Open","Phase A","TS-PAYLOAD-EO","RSK-OPS-002","medium","NEdT reale >80 mK → re-spec IR sensor"
"SsR-PAY-003","[6A] LTE eNodeB tattico (Athonet/Druid), potenza ≤50 W RF, banda licenziata o ISM emergenza","SyR-F-004 + AGCOM compliance","SyR-F-004","SsR","SyR-F-004","telecom-ntn-payload-expert","M","T","Open","Phase A","-","RSK-REG-005","low","AGCOM nega licensing → eNodeB removed → UC-003 declass"
"SsR-PAY-004","[6B] gNodeB 5G NR-NTN Rel-17/18 con beamforming digitale, 8-32 beams, banda S-band o 700 MHz","SyR-F-010 + Cap.5.5.3 + StNeed-007","SyR-F-010,Cap.5.5.3","SsR","SyR-F-010","telecom-ntn-payload-expert","M","A+T","Open","Phase B","TS-COMMS","-","low","WRC-27 non assegna banda HAPS IT → payload telecom Phase B rinviato"
"SsR-PAY-005","[6A] Payload gimbal stabilizzato 3-asse con motion compensation per imagery senza blur","Quality imagery + GSD constancy","SyR-P-007,SyR-P-008","SsR","Multiple SyR-P","earth-observation-expert","H","T","Open","Phase A","-","-","high","Motion blur in test cruise speed → re-spec gimbal"
"SsR-PAY-006","[6A] Sensore multispettrale NDVI/NDRE (4-band: RGN+NIR) per UC-005 cooperative agricole","SyR-F-007 + StNeed-006","SyR-F-007","SsR","SyR-F-007","earth-observation-expert","M","I+T","Open","Phase A","TS-PAYLOAD-EO","-","low","UC-005 pricing non scalabile → multispettrale opzionale Y2"
"SsR-PAY-007","[6A] Edge ML pipeline IR per hotspot detection + auto-anonimizzazione (no biometric)","SyR-F-003 + SyR-C-003 + SyR-C-007 AI Act","SyR-F-003,SyR-C-003,SyR-C-007","SsR","SyR-F-003,SyR-C-007","earth-observation-expert","H","D+T","Open","Phase A","-","RSK-REG-016","medium","Pipeline ML rileva volti senza anonimizzazione → violazione AI Act"
"SsR-PAY-008","[6A] Storage onboard ≥1 TB SSD aerospace-grade per intera sortie 8h","Data capture intera missione","SsR-PAY-001 + SyR-P-001","SsR","SyR-P-001","earth-observation-expert","M","I","Open","Phase A","-","-","high","Storage <500 GB → store-and-forward limited a 4h"
"SsR-PAY-009","[6A+6B] Modular ICD payload (electrical+mechanical+data) per swap rapido EO/IR/telecom","Modularità + ConOps multi-mission","IR-PAY-001 + SyR-F-001","SsR","SyR-F-001","earth-observation-expert","H","I","Open","Phase A","-","RSK-TEC-004","medium","ICD non-standard tra vendors → integrazione 30-min non possibile"
"SsR-PAY-010","[6A] LiDAR airborne TerraSAR opzionale per UC-001 frane + UC-004 mapping infrastrutture","Opzionale Y2 + persistence frane","SyR-F-001,SyR-F-008 + UC-001/004","SsR","SyR-F-001","earth-observation-expert","M","I+T","Open","Phase A+","TS-PAYLOAD-EO","-","medium","LiDAR cost >€80k unit → opzionale Y2 only"
"SsR-PAY-011","[6B] Payload EO multispettrale large-area continental scanning (swath ≥50 km @ 20 km altitude)","Persistent monitoring Liguria/IT Phase B+","SyR-F-005 + visione 10 anni","SsR","SyR-F-005","earth-observation-expert","M","A+T","Open","Phase B+","-","-","low","Swath reale <30 km → multiple passes per day required"
"SsR-PAY-012","[6A] Payload tracking + telemetry beacon Iridium per recovery in caso crash","Recovery + safety","SyR-S-002 + best practice","SsR","SyR-S-002","earth-observation-expert","M","I+T","Open","Phase A","-","-","high","Beacon non si attiva post-crash test → re-spec hardware"
"SsR-PAY-013","[6A] No-onboard biometric ML compliant NegR-Reg-002 + AI Act","NegR-Reg-002 + SyR-C-007","NegR-Reg-002,SyR-C-007","SsR","SyR-C-007","earth-observation-expert","H","I","Active","Phase A","-","RSK-REG-016","high","Pipeline ML onboard identification individuale >1:N → violazione AI Act"
"SsR-COMMS-001","Link budget service link 2.6 GHz @ 25 km slant range: SNR ≥11 dB con disponibilità 99.5% (rain fade ITU-R P.618-14 zona K)","SyR-F-001 + skill link-budget-calculator","SyR-F-001","SsR","SyR-F-001","telecom-ntn-payload-expert","H","A","Open","Phase A","-","-","high","Link budget rivisto mostra disponibilità <99% in rain fade reale → re-design RF chain"
"SsR-COMMS-002","Downlink dati 10 Mbps + thumbnail in ≤30s per alert hotspot (SyR-F-003)","SyR-F-003 antincendio latency","SyR-F-003","SsR","SyR-F-003","telecom-ntn-payload-expert","H","A+T","Open","Phase A","-","-","medium","Latency real-world >60s → revisione RF/SATCOM mix"
"SsR-COMMS-003","Uplink C2 ≤5 Mbps con latency <500ms per remote piloting","Remote piloting + SyR-S-001","SyR-S-001 + best practice","SsR","SyR-S-001","telecom-ntn-payload-expert","H","T","Open","Phase A","-","-","high","Latency real-world >1s → revisione modulation/coding"
"SsR-COMMS-004","SATCOM Iridium Certus secondary backup C2 + low-bandwidth downlink thumbnails","Backup C2 in shadow zones Pentema","SsR-AVI-002","SsR","SsR-AVI-002","telecom-ntn-payload-expert","H","T","Open","Phase A","-","-","high","Iridium throughput <100 kbps → re-spec satellite link"
"SsR-COMMS-005","[6B] Feeder link 6B HALE-to-gateway Ka-band ≥100 Mbps con beamforming adattivo","Phase B telecom backhaul","SyR-F-010","SsR","SyR-F-010","telecom-ntn-payload-expert","M","A+T","Open","Phase B+","TS-COMMS","-","low","Ka-band rain fade Liguria estate → re-spec diversity"
"SsR-COMMS-006","Crypto stack AES-256 + DTLS over UDP + perfect forward secrecy","SyR-C-004 NIS2 + SyR-S-006","SyR-C-004,SyR-S-006","SsR","SyR-S-006","telecom-ntn-payload-expert","H","I+T","Open","Phase A","-","RSK-TEC-005","medium","Crypto audit rileva vulnerability → re-design"
"SsR-COMMS-007","Frequency coordination AGCOM + ENAC per banda C2 + payload telecom","StNeed-013 + Cap.5.5","StNeed-013","SsR","StNeed-013","telecom-ntn-payload-expert","H","I","Open","Pre-A","-","RSK-REG-005","high","AGCOM rifiuta banda → re-design RF chain"
"SsR-COMMS-008","Store-and-forward fallback in caso link assente (>5 min)","Resilience link drop + SyR-S-001","SyR-S-001 + best practice","SsR","SyR-S-001","telecom-ntn-payload-expert","M","T","Open","Phase A","-","-","high","Store-and-forward mostra data loss in test → re-design buffer"
"SsR-COMMS-009","Antenne C2 + payload mounted con coverage 360° omnidirectional (low gain) + 1 directional high-gain","Coverage all-attitude + range","SsR-COMMS-001,SsR-AVI-002","SsR","SsR-COMMS-001","telecom-ntn-payload-expert","H","T","Open","Phase A","-","-","medium","Coverage shadow >10% sortie → re-spec antenna pattern"
"SsR-COMMS-010","ITU-R coordination per WRC-27 banda HAPS (preparatory engagement)","StNeed-013 + Cap.5.5.3 + SyR-C-011","StNeed-013,SyR-C-011","SsR","StNeed-013","telecom-ntn-payload-expert","M","I","Open","Phase B","-","-","low","WRC-27 non assegna banda HAPS → Phase B telecom rinviato"
"SsR-COMMS-011","[6A+6B] No-CN crypto/RF components compliance NegR-Tech-002 + Golden Power","NegR-Tech-002 + sovranità","NegR-Tech-002","SsR","StNeed-020","telecom-ntn-payload-expert","H","I","Active","Pre-A","-","RSK-SUP-001","medium","Vendor CN bannato → re-source EU/US"
"SsR-GS-001","Ground Station fissa Pentema: coperatura visiva sito operazione + connettività backup (4G/SATCOM); support PIC + payload operator","SyR-O-001/002 + StNeed-018","SyR-O-001,SyR-O-002,StNeed-018","SsR","SyR-O-001","aerospace-SE","H","I+D","Open","Phase A","-","-","high","Site Pentema non offre line-of-sight + connectivity → relocate GS"
"SsR-GS-002","Cloud/data hosting Italia/EU (Aruba/OVH/PSN-listed), GDPR+NIS2 compliant, no cloud US/CN default","SyR-C-003/004/008 + NegR-Geo-001 + NegR-Tech-003","Multiple SyR-C + NegR","SsR","SyR-C-008","data-privacy-counsel","H","I","Open","Phase A","-","RSK-REG-021","high","Imagery EO in cloud US senza DPIA → violazione GDPR + NIS2"
"SsR-GS-003","Pipeline processing imagery: anonimizzazione automatica edge-level (blur volti/targhe), GIS-ready output entro 24h (non-emergenza) o 30 min (emergenza)","SyR-C-003 GDPR + StNeed-008 + SyR-C-007 AI Act","SyR-C-003,StNeed-008,SyR-C-007","SsR","SyR-C-003,SyR-C-007","data-privacy-counsel","H","D","Open","Phase A","-","RSK-TEC-006","medium","Anonimizzazione fallisce su >5% immagini → DPIA bocciata"
"SsR-GS-004","Ground Station mobile (vehicle-mounted) per operazioni emergenza fuori-base","ConOps emergenza + SyR-O-002","SyR-O-002","SsR","SyR-O-002","aerospace-SE","M","I+D","Open","Phase A","-","-","medium","GS mobile non operativa entro 1h → revisione mobility"
"SsR-GS-005","Console PIC remoto con HMI standard ICAO + display traffic + payload feed real-time","Operatività + safety SyR-S-001","SyR-O-001,SyR-S-001","SsR","SyR-S-001","avionics-gnc-engineer","H","I+D","Open","Phase A","-","-","high","HMI non usabile in scenari stress → re-design UX"
"SsR-GS-006","Mission planning software + integrazione NOTAM + meteo + ENAV airspace","Pre-flight ConOps + StNeed-022/024","ConOps + ENAV","SsR","SyR-O-001","aerospace-SE","M","I+D","Open","Phase A","-","-","medium","ENAV API integration non disponibile → manual workaround"
"SsR-GS-007","Data delivery portal cliente (PA, cooperative) con accesso role-based + audit log + GDPR-compliance","Data delivery + StNeed-001/005/006","Multiple StNeeds + SyR-C-003","SsR","SyR-C-003","data-privacy-counsel","H","I","Open","Phase A","-","RSK-REG-021","high","Audit log non-conforme GDPR Art.30 → revisione architettura"
"SsR-GS-008","Backup mission control offsite (TBD location, ≥50 km da Pentema)","Resilience operativa + safety","SyR-O-001 + best practice","SsR","SyR-O-001","aerospace-SE","M","I","Open","Phase B","-","-","low","Backup site non identificato → revisione resilience plan"
"SsR-GS-009","[6B] Mission Operations Center 24/7 per HALE perennial (Y3+)","Operatività 6B + StNeed-024","SyR-F-005,StNeed-024","SsR","SyR-F-005","aerospace-SE","M","I+D","Open","Phase B","-","-","low","MOC 24/7 OpEx >€500k/anno → revisione staffing model"
"SsR-GS-010","ISMS Part-IS + ISO 27001 alignment + CISO ownership operational","SyR-C-004 NIS2 + Part-IS + StNeed-020","SyR-C-004,StNeed-020","SsR","SyR-C-004","aviation-regulatory-counsel","H","I+A","Open","Phase A","-","RSK-REG-019,RSK-REG-027","high","ACN audit ISMS gap rilevato → operations on hold"
